time,lux,hum,temp
2026-06-27 13:30:00+00:00,42.2,66,28.4
2026-06-27 13:35:00+00:00,41.4,64,28.3
2026-06-27 13:40:00+00:00,41.9,64,28.4
2026-06-27 13:45:00+00:00,41.8,66,28.5
2026-06-27 13:50:00+00:00,41.6,65,28.4
2026-06-27 13:55:00+00:00,40.9,66,28.5
2026-06-27 14:00:00+00:00,40.4,66,28.4
2026-06-27 14:05:00+00:00,39.9,65,28.4
2026-06-27 14:10:00+00:00,38.7,65,28.4
2026-06-27 14:15:00+00:00,38.1,65,28.4
2026-06-27 14:20:00+00:00,37.8,64,28.5
2026-06-27 14:25:00+00:00,38.3,65,28.5
2026-06-27 14:30:00+00:00,38,65,28.4
2026-06-27 14:35:00+00:00,37.4,65,28.5
2026-06-27 14:40:00+00:00,36.2,65,28.5
2026-06-27 14:45:00+00:00,36,65,28.5
2026-06-27 14:50:00+00:00,34.8,65,28.5
2026-06-27 14:55:00+00:00,36.2,65,28.5
2026-06-27 15:00:00+00:00,36.6,65,28.5
2026-06-27 15:05:00+00:00,37.8,65,28.4
2026-06-27 15:10:00+00:00,32.8,65,28.4
2026-06-27 15:15:00+00:00,32.2,65,28.5
2026-06-27 15:20:00+00:00,35.3,65,28.4
2026-06-27 15:25:00+00:00,34.5,65,28.4
2026-06-27 15:30:00+00:00,38.4,65,28.4
2026-06-27 15:35:00+00:00,39.9,65,28.4
2026-06-27 15:40:00+00:00,48.4,65,28.4
2026-06-27 15:45:00+00:00,52.3,65,28.4
2026-06-27 15:50:00+00:00,53.9,65,28.3
2026-06-27 15:55:00+00:00,53.8,64,28.4
2026-06-27 16:00:00+00:00,55.3,64,28.4
2026-06-27 16:05:00+00:00,55.4,64,28.4
2026-06-27 16:10:00+00:00,55.5,64,28.4
2026-06-27 16:15:00+00:00,56.3,64,28.5
2026-06-27 16:20:00+00:00,56.7,63,28.5
2026-06-27 16:25:00+00:00,57.2,64,28.5
2026-06-27 16:30:00+00:00,58.3,64,28.5
2026-06-27 16:35:00+00:00,59.2,64,28.5
2026-06-27 16:40:00+00:00,59.9,63,28.5
2026-06-27 16:45:00+00:00,59.8,63,28.6
2026-06-27 16:50:00+00:00,63.1,64,28.6
2026-06-27 16:55:00+00:00,64.4,64,28.6
2026-06-27 17:00:00+00:00,64.5,64,28.7
2026-06-27 17:05:00+00:00,65.9,64,28.5
2026-06-27 17:10:00+00:00,68.6,64,28.5
2026-06-27 17:15:00+00:00,71.1,64,28.5
2026-06-27 17:20:00+00:00,72.4,64,28.5
2026-06-27 17:25:00+00:00,75,64,28.5
2026-06-27 17:30:00+00:00,76.5,64,28.4
2026-06-27 17:35:00+00:00,79.5,63,28.5
2026-06-27 17:40:00+00:00,82.1,63,28.5
2026-06-27 17:45:00+00:00,84.2,62,28.5
2026-06-27 17:50:00+00:00,85.9,61,28.5
2026-06-27 17:55:00+00:00,87.8,62,28.5
2026-06-27 18:00:00+00:00,89.9,62,28.5
2026-06-27 18:05:00+00:00,91.8,61,28.5
2026-06-27 18:10:00+00:00,92.3,62,28.5
2026-06-27 18:15:00+00:00,94.2,61,28.4
2026-06-27 18:20:00+00:00,95.4,61,28.5
2026-06-27 18:25:00+00:00,96.7,62,28.5
2026-06-27 18:30:00+00:00,98.6,62,28.5
2026-06-27 18:35:00+00:00,99.6,63,28.4
2026-06-27 18:40:00+00:00,100,62,28.4
2026-06-27 18:50:00+00:00,100,63,28.4
2026-06-27 18:55:00+00:00,100,63,28.4
2026-06-27 19:00:00+00:00,100,63,28.4
2026-06-27 19:10:00+00:00,100,64,28.4
2026-06-27 19:20:00+00:00,100,64,28.4
2026-06-27 19:25:00+00:00,100,64,28.3
2026-06-27 19:30:00+00:00,100,64,28.3
2026-06-27 19:35:00+00:00,100,64,28.3
2026-06-27 19:40:00+00:00,100,64,28.4
2026-06-27 19:45:00+00:00,100,64,28.3
2026-06-27 19:50:00+00:00,100,64,28.3
2026-06-27 19:55:00+00:00,100,64,28.3
2026-06-27 20:00:00+00:00,100,64,28.4
2026-06-27 20:05:00+00:00,100,64,28.3
2026-06-27 20:10:00+00:00,100,65,28.3
2026-06-27 20:15:00+00:00,100,65,28.3
2026-06-27 20:20:00+00:00,100,65,28.3
2026-06-27 20:25:00+00:00,100,65,28.3
2026-06-27 20:30:00+00:00,100,65,28.3
2026-06-27 20:35:00+00:00,100,65,28.4
2026-06-27 20:40:00+00:00,100,65,28.5
2026-06-27 20:45:00+00:00,100,65,28.5
2026-06-27 20:50:00+00:00,100,65,28.5
2026-06-27 20:55:00+00:00,100,65,28.5
2026-06-27 21:00:00+00:00,100,65,28.5
2026-06-27 21:05:00+00:00,100,65,28.6
2026-06-27 21:10:00+00:00,100,65,28.6
2026-06-27 21:15:00+00:00,100,66,28.5
2026-06-27 21:20:00+00:00,100,67,28.5
2026-06-27 21:25:00+00:00,100,67,28.4
2026-06-27 21:30:00+00:00,100,67,28.4
2026-06-27 21:35:00+00:00,100,68,28.5
2026-06-27 21:40:00+00:00,100,68,28.5
2026-06-27 21:45:00+00:00,100,68,28.4
2026-06-27 21:50:00+00:00,100,68,28.4
2026-06-27 21:55:00+00:00,100,68,28.4
2026-06-27 22:00:00+00:00,100,68,28.4
2026-06-27 22:05:00+00:00,100,68,28.4
2026-06-27 22:15:00+00:00,100,67,28.5
2026-06-27 22:20:00+00:00,100,66,28.5
2026-06-27 22:25:00+00:00,100,66,28.5
2026-06-27 22:30:00+00:00,100,66,28.5
2026-06-27 22:35:00+00:00,100,66,28.5
2026-06-27 22:40:00+00:00,100,66,28.5
2026-06-27 22:45:00+00:00,100,66,28.5
2026-06-27 22:50:00+00:00,100,67,28.5
2026-06-27 22:55:00+00:00,100,67,28.5
2026-06-27 23:00:00+00:00,100,67,28.5
2026-06-27 23:05:00+00:00,100,67,28.5
2026-06-27 23:10:00+00:00,100,68,28.5
2026-06-27 23:15:00+00:00,100,68,28.5
2026-06-27 23:20:00+00:00,100,68,28.5
2026-06-27 23:25:00+00:00,100,69,28.5
2026-06-27 23:30:00+00:00,100,69,28.5
2026-06-27 23:35:00+00:00,100,69,28.4
2026-06-27 23:40:00+00:00,100,69,28.4
2026-06-27 23:45:00+00:00,100,69,28.4
2026-06-27 23:50:00+00:00,100,69,28.4
2026-06-27 23:55:00+00:00,100,69,28.4
2026-06-28 00:00:00+00:00,100,69,28.4
2026-06-28 00:05:00+00:00,100,69,28.4
2026-06-28 00:10:00+00:00,100,69,28.4
2026-06-28 00:15:00+00:00,100,69,28.4
2026-06-28 00:20:00+00:00,100,69,28.3
2026-06-28 00:25:00+00:00,100,69,28.3
